SAMPLE_ACC,SAMPLE_DESCRIPTION,DESCRIPTION,SITE_DESCRIPTION,REGION,HABITAT_NAME,biome_label,biome_id,environmental_material_label,environmental_material_id,environmental_feature_label,environmental_feature_id,suggest new terms
ALVINELLA_SMPL_20041130,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE1,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE2,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE227_0.1UM,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE227_0.8UM,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE227_3.0UM,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE228_0.1UM,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE228_0.8UM,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE228_3.0UM,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE229_0.1UM,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE229_0.8UM,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE229_3.0UM,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
ANTARCTICAAQUATIC_SMPL_SITE230_0.1UM,,,saltwater manmade,Arizona,saline water,anthropogenic terrestrial biome,ENVO:01000219,saline water,ENVO:00002010,anthropogenic abiotic mesoscopic feature,ENVO:00003075,
