rdfs:label	MEOWL short label	BCO-DMO unit	other unit	From Ken's list of all fields	From Hurowitz CAMERA data.xls	category	BCO-DMO short name	MIxS package	maps to MIxS term	other synonyms
				bact_chl_a_ug_l	-	???			chlorophyll?	
				bchl_cd_ug_l	-	???			chlorophyll?	
				bchl_e_ug_l	-	???			chlorophyll?	
				cds_file	-	???			?	
				importance	-	???			maybe remove	
				pi	-	???			?	
				sigma_kg_1000l	Sigma - (kg/1---L)	???			?	
				theta_its_90	Theta - (ITS-9-)	???			?	
				time_count	Time (count)	???			?	
bacterial cell abundance	bact_cell_abund		cells/ml	abundance_bacterial_cells_ml	abundance/bacterial - (cells/ml)	biological		multi	organism count	
bacterial cell abundance rate	bact_cell_abund_rate		cells/ml/h	abundance_bacterial_cells_ml_h	abundance/bacterial - (cells/ml/h)	biological		multi	organism count	
Synechococcus cell abundance	synechoccus_cell_abund		cells/ml	abundance_synechococcus_cells_ml	abundance/synechococcus - (cells/ml)	biological		multi	organism count	
axenic	axenic			axenic	-	biological				
bacterial production rate	bact_production		cells/ml/h	bacterial_production_cells_ml_h	bacterial production - (cells/ml/h)	biological		water	bacterial production	
biofilm mass	biofilm_mass		g	biofilm_g	biofilm - (g)	biological		multi	biomass	
biomass concentration	biomass_conc		ug/kg	biomass_concentration_ug_kg	biomass/concentration - (ug/kg)	biological		multi	biomass | soil biomass	
need to know if this is just biomass or biomass per mass			g	biomass_mass_g	biomass/mass - (g)	biological		multi	biomass | soil biomass	
colony forming unit Campylobacter jejuni	cfu_cjejuni		cfu	cfu_cjejuni_cfu	CFU/C.jejuni - (CFU)	biological				
look for term in PATO	clonal			clonal	-	biological				
this appears to be a concentration which does not make sense for fluorescence				fluorescence_ug_l		biological				
fluorescence	fluorescence		ug/l	fluorescence_ug_l	fluorescence - (ug/L)	biological				
host health status	host_health_status			health_status	health status	biological		core//human-associated	"health or disease status of specific host at time of collection//amniotic fluid/maternal health status, amniotic fluid/foetal health status,"	
host description	host_description			host_description	HOST_DESCRIPTION	biological				
host name	host_name			host_name	Host Name	biological		host-associated	host common name	
host organism	host_organism			host_organism	HOST_ORGANISM	biological				
host species	host_species			host_species	host species	biological		core/host-associated	specific host/host common name	
host tissue	host_tissue			host_tissue	host tissue	biological				
categorical or needs units?				plant_cover	Plant Cover	biological				
prey organism - check values here	prey			prey_organism_if_applicable	-	biological				
transmission types	transmission_type		categorical?	transmission	transmission	biological				
viral abundance	viral_abund		viruses/ml	viral_abundance_viruses_ml	viral abundance - (viruses/ml)	biological				
viral production rate	viral_production		viruses/ml/h	viral_production_viruses_ml_h	viral production - (viruses/ml/h)	biological		multi	organism count	
colony forming unit	cfu		cfu			biological				
colony forming unit concentration	cfu_conc		cfu/ml			biological				
alkalinity	alkalinity		mM	alkalinityalk_mm	Alkalinity(ALK) - (mM)	chemical		multi	alkalinity	
aluminium concentration	aluminium_conc		uM	aluminiumal_um	Aluminium(Al) - (uM)	chemical				
ammonia concentration	ammonia_conc		uM	ammonianh4_um	Ammonia(NH4) - (uM)	chemical				
ammonium concentration	ammonium_conc		unknown	ammonium	-	chemical				
ammonium concentration	ammonium_conc		umol/kg	ammonium_umol_kg	Ammonium - (umol/kg)	chemical		multi	ammonium	
antimony concentration	antimony_conc		uM	antimonysb_um	Antimony(Sb) - (uM)	chemical				
arsenic concentration	arsenic_conc		uM	arsenicas_um	Arsenic(As) - (uM)	chemical				
barium concentration	barium_conc		uM	bariumba_um	Barium(Ba) - (uM)	chemical				
boron concentration	boron_conc		uM	boronb_um	Boron(B) - (uM)	chemical				
caesium concentration	caesium_conc		uM	caesiumcs_um	Caesium(Cs) - (uM)	chemical				
calcium concentration	calcium_conc		uM	calciumca_um	Calcium(Ca) - (uM)	chemical				
carbon dioxide concentration	co2_conc		uM	carbon_dioxideco2_um	Carbon dioxide(CO2) - (uM)	chemical		multi	dissolved carbon dioxide	
carbon dioxide concentration	co2_conc		umol/kg	carbon_dioxideco2_umol_kg	Carbon dioxide(CO2) - (umol/kg)	chemical		multi	dissolved carbon dioxide	
colored dissoloved organic matter	cdom	mg/m^3	RFU	cdom_rfu	CDOM - (RFU)	chemical	CDOM			
chlorophyll a concentration	chl_a_conc	mg/m^3|ug/l|ng/l 	mg/l	chla_mg_1000l	Chla - (mg/1---L)	chemical	chl_a	multi	chlorophyll	
chlorinity	chlorinity		mM	chlorinitycl_mm	Chlorinity(Cl) - (mM)	chemical				
chlorinity	chlorinity		uM	chlorinitycl_um	Chlorinity(Cl) - (uM)	chemical				
not useful without more information				chlorophyll	-	chemical	x			
annual chlorophyll density	chl_dens_annual		ug/kg	chlorophyll_density_annual_ug_kg	chlorophyll density/annual - (ug/kg)	chemical	x	multi	chlorophyll	
annual chlorophyll density	chl_dens_annual		ug/l	chlorophyll_density_annual_ug_l	chlorophyll density/annual - (ug/l)	chemical	x	multi	chlorophyll	
chlorophyll density	chl_dens		psu	chlorophyll_density_psu	chlorophyll density - (psu)	chemical		multi	chlorophyll	
chlorophyll density per sample month	chl_dens_samp_month		ug/kg	chlorophyll_density_sample_month_ug_kg	chlorophyll density/sample month - (ug/kg)	chemical		multi	chlorophyll	
chlorophyll density	chl_dens		ug/kg	chlorophyll_density_ug_kg	chlorophyll density - (ug/kg)	chemical		multi	chlorophyll	
unit missing				chloropigment	Chloropigment	chemical		mulit	chlorophyll	
chloropigment concentration lt53	chlpig_tot_lt53		ug/l	chloropigment	Chloropigment	chemical	chlpig_tot_lt53			
chloropigment concentration	chloropig_conc		ng/g dry wt	chloropigment	Chloropigment	chemical	chloropig_conc			
