imicrobe,mixs_term,alternate_name,category,mixs_package,camera,bco_dmo_short_name,hot_name
bact_chl_a_ug_l,chlorophyll,,biological,,,,
bchl_cd_ug_l,chlorophyll,,biological,,,,
bchl_e_ug_l,chlorophyll,,biological,,,,
cds_file,?,SKIP,???,,,,
importance,delete?,SKIP,???,,,,
sigma_kg_1000l,?,SKIP,???,,Sigma  (kg/1L),,
theta_its_90,?,SKIP,???,,Theta  (ITS9),,
time_count,?,SKIP,???,,Time (count),,
heterotrophic_bacteria_abundance,,,biological,,,bact_het_cyt,
pico_eukaryote_abundance,,,biological,,,pico_euks,
prochlorococcus_abundance,,,biological,,,coccus_p_cyt,
synechococcus_abundance,,,biological,,,coccus_s_cyt,
19-prime-butanoyloxyfucoxanthin,,,chemical,,,fucox_but,
19-prime-hexanoyloxyfucoxanthin,,,chemical,,,fucox_hex,
alkalinityalk_mm,alkalinity,,chemical,multi,Alkalinity(ALK)  (mM),,
aluminiumal_um,,aluminium,chemical,,Aluminium(Al)  (uM),,
ammonianh4_um,,ammonia,chemical,,Ammonia(NH4)  (uM),,
ammonium,,ammonium,chemical,,,,
ammonium_umol_kg,ammonium,,chemical,multi,Ammonium  (umol/kg),,
antimonysb_um,,antimony,chemical,,Antimony(Sb)  (uM),,
arsenicas_um,,arsenic,chemical,,Arsenic(As)  (uM),,
bariumba_um,,barium,chemical,,Barium(Ba)  (uM),,
boronb_um,,boron,chemical,,Boron(B)  (uM),,
caesiumcs_um,,caesium,chemical,,Caesium(Cs)  (uM),,
calciumca_um,,calcium,chemical,,Calcium(Ca)  (uM),,
carbon_dioxideco2_um,dissolved carbon dioxide,,chemical,multi,Carbon dioxide(CO2)  (uM),,
carbon_dioxideco2_umol_kg,dissolved carbon dioxide,,chemical,multi,Carbon dioxide(CO2)  (umol/kg),,
carotene,,,chemical,,,carotene,
carotene-alpha,,,chemical,,,carotene_a,
carotene-beta,,,chemical,,,carotene_b,
cdom_rfu,,cdom,chemical,,CDOM  (RFU),,
cfu_cjejuni_cfu,,,chemical,,CFU/C.jejuni  (CFU),,
chla_mg_1000l,chlorophyll,,chemical,multi,Chla  (mg/1L),,
chlorinitycl_mm,,chlorine,chemical,,Chlorinity(Cl)  (mM),,
chlorinitycl_um,,chlorine,chemical,,Chlorinity(Cl)  (uM),,
chlorophyll,,chlorophyll,chemical,,,,
chlorophyll_a,,,chemical,,,chl_a,
chlorophyll_a,,,chemical,,,chl_a_derived,
chlorophyll_b,,,chemical,,,chl_b,
chlorophyll_c_total,,,chemical,,,chl_c_tot,
chlorophyll_c1_c2,,,chemical,,,chl_c1_c2,
chlorophyll_c3,,,chemical,,,chl_c3,
chlorophyll_c4,,,chemical,,,chl_c4,
chlorophyll_density_annual_ug_kg,chlorophyll,,chemical,multi,chlorophyll density/annual  (ug/kg),,
chlorophyll_density_annual_ug_l,chlorophyll,,chemical,multi,chlorophyll density/annual  (ug/l),,
chlorophyll_density_psu,chlorophyll,,chemical,multi,chlorophyll density  (psu),,
chlorophyll_density_sample_month_ug_kg,chlorophyll,,chemical,multi,chlorophyll density/sample month  (ug/kg),,
chlorophyll_density_ug_kg,chlorophyll,,chemical,multi,chlorophyll density  (ug/kg),,
chlorophyllide_a,,,chemical,,,chlide_a,
chloropigment,chlorophyll,,chemical,mulit,Chloropigment,,
co2,,carbon dioxide,chemical,,,pCO2,
d13_total_particulate_carbon,,,chemical,,,del13C_TPC,
